退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
现在下单，明天中午能到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。	
现在下单明天能到货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
什么时候可以拿到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
明天能到吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
为什么老是提交不了订单	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
为什么不能提交订单	部分商品预订状态不能下单购买的，麻烦待商品到货后再下单呢。
为什么提交订单后显现已下柜	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
为什么提交订单显示抢购不成功	由于抢购商品比较畅销，同一时间购买的客户较多，可能导致抢购失败，请谅解。 
为什么订单提交不上去	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
提交订单为什么不能送货	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息
我已经取消此订单了吗	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
取消订单已经成功了	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
刚才我已经取消订单了	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
订单已经取消成功	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
我已经点了取消订单	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
为什么有货却从外地发货	您的地区显示有货代表您的地区可以下单购买，商品会从距离您最近的库房发出，不一定是您所在的城市；第三方商家商品是从商家所在地仓库发货的。
本地有货，却从外地发货	您的地区显示有货代表您的地区可以下单购买，商品会从距离您最近的库房发出，不一定是您所在的城市；第三方商家商品是从商家所在地仓库发货的。
大约啥时候到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
配送单号	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
哪个快递员在配送	订单显示分配给配送员后，配送员的联系电话会在物流信息中写明，第三方快递电话暂不能查询。
查一下订单	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
帮我查一下订单被取消了没有	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查看订单状态，若为【已取消】，则取消成功。若非取消状态且订单已发货导致取消不成功，还请您做好拒收准备。
帮我查一下我的订单好吗	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
帮我查一下我的订单发货了吗	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
帮我查一下我的那个订单	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
能帮我查一下订单吗	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
查一下订单状态	您可以<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>查询相应订单的物流全程跟踪详情，如有其他疑问您可以联系客服美眉为您查看处理。
发票错误	若刚下单还未发货建议取消订单重新下单；若商品已发货或已收到发票请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服MM协助修改发票。
我的发票信息错误了 能修改吗	若刚下单还未发货建议取消订单重新下单；若商品已发货或已收到发票请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服MM协助修改发票。
我的订单编号	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎么修改订单收货地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
我想修改订单送货地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
想修改一下收货地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
更改订单地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
要修改地址。怎么改	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
订单修改地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
如何修改订单中的收货地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
我的订单取消了，怎么还在发货中啊	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>
联系人工客服帮您看下哦~ 
我的订单取消了，钱怎么没打回	如需查看具体内容，请<a href="http://help.gome.com.cn/article/315-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
订单取消了，怎么要求退款呢	如需查看具体内容，请<a href="http://help.gome.com.cn/article/315-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
这个订单什么情况	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服帮您看下哦~ 
帮我查个订单号啊	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>;	
帮帮忙咯	您想具体咨询什么问题呢，告诉果果，果果愿为您热情解答哟
我想问一下	您想具体咨询什么问题呢，告诉果果，果果愿为您热情解答哟
我想问一下这块	您想具体咨询什么问题呢，告诉果果，果果愿为您热情解答哟
你给我转人工服务	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
没有人工客服么	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服在不在，我不要跟机器人说话	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服哦~ 
客服怎么不回话	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服哦~ 
客服美眉不理我啊	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服哦~ 
客服一天都不在线	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72089211796%26loginname%3Dpapercrane%26grade%3D5%26name%3Dhaiyangkaifa%26memo%3D%26hashCode%3Da23680e28bf01e8c02966dba4bca4b60%26timestamp%3D1489715444999&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010200%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%259C%259D%25E9%2598%25B3%25E5%258C%25BA%25E6%259C%259D%25E5%25A4%2596%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110102002&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服哦~ 
你还会什么	吃饭睡觉唱歌
你是人么	我是机器人哦，真人有时候忙不过来，我就顶着，虽然我答得不好，但是我确实比真人懂得多哦
不同货物一起配送吗	不同货物有可能从不同地方发出，不一定能一起配送。
广东梅州梅县配送货物吗	您可以<a href="http://help.gome.com.cn/question/9.html">点击这里</a>输入地址即可查询本地址支持的配送服务。
配送会送到什么地方	您可以<a href="http://help.gome.com.cn/question/9.html">点击这里</a>输入地址即可查询本地址支持的配送服务。
配送货到镇上吗？	您可以<a href="http://help.gome.com.cn/question/9.html">点击这里</a>输入地址即可查询本地址支持的配送服务。
不支持配送地区能否送货	建议您三思哦，有可能会送不到的呢…
抢购的物品能提前加入购物车	有的商品是可以的哦，具体需要看商品页面是否有点击加入购物车的按钮哦。
啥时候能有货，麻烦你问问可以吗	如果页面显示您当地无货，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦~~ 
为什么这件商品不能购买呢	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
预定商品不能下单购买	预约阶段只能预约，一般不能下单购买；商品开售后，仅有已预约的用户可购买商品哦~
我要购买这个商品为什么不能下单	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
怎么订购的产品不能货到付	若商品和收货地址均支持货到付款，会在支付方式中显示货到付款选项，选择后提交订单，到货时将款项交付给配送人员即可。
这款商品就不能购买了	无法下单的原因会在订单结算页面显示的，现货商品无法下单，可能是系统反应较慢，建议稍后重新下单。
啥时候开始抢	部分商品需在商品页面进行预约，预约成功后无法取消，<a href="http://myhome.gome.com.cn/member/myReservation">点击这里</a>可查看您的预约并进入抢购商品页面，因同时抢购客户较多，可能会出现抢购不成功的情况，具体以提交订单成功为准。	
本店客服什么时候上班	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服什么时候上班呢	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
第三方商家商品的质量会有问题吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
这个商品是第三方的货品吗	商品详情页“服务”一栏显示由店铺发货的为第三方商家商品。
请问这款产品店家有货吗	亲，请您在商品页面“送至”后面选择您的收货地区，即会显示是否有货哟~
这件商品是第三方商家的	商品详情页“服务”一栏显示由店铺发货的为第三方商家商品。
我要退货怎么做	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我要退货 但是商家不在线	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我要退货在哪申请啊?	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我要退货，邮费咋算?	质量问题的退换货运费肯定不需要大人您承担的呢~~~办理完毕之后可以联系人工客服MM，会为您处理的哦~~~
你好包安装吗空调	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买空调，包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
您好 包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买你的空调，你们包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
买冰箱旧的回收吗?	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5599.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问旧冰箱怎么回收	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5599.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
退款几天到帐	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想退款直接到余额	退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。
如何申请退款	进入我的订单，点击对应的“取消订单”按钮，跳转至退款申请页面，按照提示操作。若已收到商品，需要申请售后退货。
拒收申请退款	当您已支付的订单，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后会产生关联退款。退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。
无法申请退款	无法操作申请退款的，页面会有无法申请的提示，若有异常请联系在线客服。
手机充值退款	充值订单支付成功之后，无法申请退款哦~
全球购退款	国美海外购承诺符合条件的情况下，自客户收到商品之日起7日之内可以退货，您可在线提交退货申请办理退货事宜。（请您保证主商品的完好，并将赠品一并退回）
发票没有收到	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
找客服补开发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
怎么补开发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
评价晒单怎么弄	您可以<a href="http://myhome.gome.com.cn/member/myGoodsAppraise?orderId&shippingGroupId"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>进行评价晒单，若订单未完成，需要您先点击确认收货完成订单。
不是说好送礼品么？怎么没有啊？	非常抱歉给您带来不便哦，若您收到商品少赠品，建议您<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系下客服美眉核实处理。
可以以旧换新	是否支持回收您可<a href="http://help.gome.com.cn/question/5601.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
自行车可以以旧换新吗	是否支持回收您可<a href="http://help.gome.com.cn/question/5601.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
以旧换新什么手机都可以吗	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
以旧换新 可以吗	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
