货到付款	亲好，如果您想货到付款购买商品，联系在线<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dff4c73425522d7f34fa1fb578cc16d20%26timestamp%3D1483423376172&page=0&enterurl=http://help.gome.com.cn/question/9.html?intcmp=sy-public01023&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=162&subject=%E5%9C%A8%E7%BA%BF%E5%92%A8%E8%AF%A2"><strong><span>人工客服</span></strong></a>####帮您提交订单哦
请问几天可以完成退换货？	退换货一般是自收到问题商品之日起1-15天之内为您处理完成，具体根据不同情况及不同商品而不相同，您可以点击人工客服咨询详情哟~
请问无理由退换货的规则是什么？	亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/article/307-0-0.html
订单查询	亲，查询订单信息，您可以点击-<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">我的订单</a>####查询物流信息或联系在线客服<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D53662767484%26loginname%3Dliwenjuan2014%26grade%3D5%26name%3DGM_%E5%85%94%E5%AD%90%E7%88%B1%E5%90%83%E8%99%BE%26memo%3D%26hashCode%3Db3eb9dacb3590a863a3b370896b2b768%26timestamp%3D1483430653516&page=0&enterurl=http://help.gome.com.cn/question/5089.html&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%25B5%25B7%25E6%25B7%2580%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105012&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=172&subject=%E8%AE%A2%E5%8D%95%E6%9F%A5%E8%AF%A2">人工服务</a>哦
上帝  这是什么客服啊	亲呐，我是机器人果果
国美在线服务宗旨	被信任是一种快乐
有发票吗	 请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
请问物流配送需要几天？	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a>####查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
人工客服不在啊	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
我要退货，你们的地址	申请退货审核通过之后，在退换货记录里面查询即可呢~~
我要退货在哪申请啊?	自订单妥投之日起7日内可申请退货，确认收货之后就会有申请的按钮哦~~~
我要退货，邮费咋算?	质量问题的退换货运费肯定不需要大人您承担的呢~~~办理完毕之后可以联系人工客服小美，会为您处理的哦~~~
我要换货怎么换啊	自订单妥投之日起15日内可申请换货，确认收货之后就会有申请的按钮哦~~~
我要换货，但是在换货前我要电话确认一下！	申请退货审核通过之后，在退换货记录里面即可查询商家电话呢~~如果是自营的商品直接联系人工客服小美就可以了呢~~
你好 我要换货	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:<a href="http://help.gome.com.cn/html/shfw/thh-zy.html">http://help.gome.com.cn/html/shfw/thh-zy.html </a>
你好 我买错了，想退货，如何操作	 亲 如订单还未发货可联系人工客服小美取消哦~~~
评价怎么评论	 亲~~~商品收到之后您点击确认收货就会出现评价的按钮！直接点击评价您心仪的宝贝即可喽~~~
你好，请问原价是多少啊	 亲，网站的价格都是正常销售价格，不议价哦，相比其他家已经很优惠啦，看好了就赶紧下手吧
你好，什么时候有货啊	如果页面显示您当地无货，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦~~
你好，你们不是货到付款啊	在商品页面选择您所在的省市区即可查询是否支持货到付款~~~
你好。我怎么没有收到发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####联系人工客服为您核实处理； "
我现在买了 但是可能安装要推迟 可以吗?	 安装相关您可参看帮助中心-售后服务-上门安装的哦~~~<a href="http://help.gome.com.cn/article/325-0-0.html?intcmp=sy-1000043269-1">http://help.gome.com.cn/article/325-0-0.html?intcmp=sy-1000043269-1 </a>
商品怎么保修	商品售后可参照商品页面-售后服务 查看该商品的具体售后服务和保修期，请您放心选购
刷卡可以吗	亲~如果您下单时选择了货到付款刷卡，送货时师傅会带着POS机哦~~
啥时候能有货，麻烦你问问可以吗	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦
如果不能用可以退款吗	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:<a href="http://help.gome.com.cn/html/shfw/thh-zy.html"><span style="color: rgb(255,0,0);">http://help.gome.com.cn/html/shfw/thh-zy.html </span></a>
能验好笔记本电脑后，再付款，可以吗	签收与验货流程您可参看服务中心-物流配送-签收验货的哦 http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3
下单有赠品吗	如果下单的时候有赠品都会在商品页面显示的哦~~~
你好，这个不能免邮费?	运费可参考 http://help.gome.com.cn/article/225-0-0.html 配送费用哦~~~
你好！怎么算企业用户	打开连接：https://reg.gome.com.cn/register/index/company 即可注册的哦~~~
你好，该款何时有货?	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦/可爱
你好，空调包安装吗?	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>#### 查看的哦~~~
您好 可以分期吗	分期付款金额是指您的订单应付金额，最低为100元，最高不超过50000元，具体金额以银行设置为准。
您好 我想开店、入驻国美	点击网上最上方网址导航-商家入驻，即可填写信息的哦~~~
您好 商品坏了怎么维修	" 如果手机在保修期之内可联系厂家保修的哦~~~~如果您手机已经过保可点击连接：<a href="http://help.gome.com.cn/article/326-0-0.html?intcmp=sy-1000043269-2">http://help.gome.com.cn/article/326-0-0.html?intcmp=sy-1000043269-2</a>####登记维修的哦~~~ "
在派送了吗	点击我的订单，即可查询订单详情哦~~~
可以开发票吗?	 发票相关您可参考服务中心-发票制度 链接：<a href="http://help.gome.com.cn/article/238-0-0.html">http://help.gome.com.cn/article/238-0-0.html </a>
有货吗	在商品页面选择您所在的省市区即可查询是否有货~~~
你们是谁发货	快递小哥为您送货~~~~
空调谁给安装	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2 </a>####查看的哦~~~
空调由谁来安装	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>####查看的哦~~~
需要售后找谁	商品售后可参照商品页面-售后服务 查看该商品的具体售后服务和保修期，请您放心选购
帮我催一下，谢谢！	催一下，即可就达，快递小哥在快马加鞭送货中，还请亲稍等下的哦~~~
请保证质量，谢谢！	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
需要人工服务，谢谢	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
无货	亲，请您在商品页面“送至”后面选择您的收货地区，即会显示是否有货哟~
4G比3G的优势在哪里？	快~快~快~重要的事情说三遍~~
39元的产品都要5块运费吗？	运费可参考 http://help.gome.com.cn/article/225-0-0.html 配送费用哦~~~
优惠券在哪里查询	打开<a href="http://myhome.gome.com.cn/member/gomeMyCoupon">我的国美-优惠券</a>即可查询哦~
麻烦你尽快出货咯，谢谢	商品发出之后在我的订单就可以查询，您也关注下的哦~~
怎么能找到卖家直接咨询呢	如果是第三方入驻商家的商品，商品页面右侧有商家在线客服和联系方式哦~~
能找到商家的电话吗	如果是第三方入驻商家的商品，商品页面右侧有商家在线客服和联系方式哦~~
代金劵在哪能找到	打开我的国美-优惠券
在哪能找到和厂家联系的	一般商品页面右侧会有厂家在线客服的哦~
What's you name?	呜呜~~~~(>_<)~~~~  果果看不懂您说的什么~~
宝贝包邮不	在商品页面选择您所在的省市区即可查询是否有运费的哦~~~
宝贝是新机吗	国美在线所售商品均为全新（淘实惠除外）正品行货，商品都是通过正规渠道进货，入驻的商家商品质量也都是经过国美在线严格审查，请您放心购买。
宝贝发货快吗	快~快~快~重要的事情说三遍~~
宝贝出货快吗？	快~快~快~重要的事情说三遍~~
为什么我的地址不能购买，不可以调货吗	很抱歉呢，因商品采购属集团负责，暂时无法查询到货时间，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦/可爱
航嘉电源售后找谁	亲，拨打厂家的电话可以咨询售后问题哦~~~
这个空调谁给安装?	打开链接：<a href="http://help.gome.com.cn/question/25.html?intcmp=sy-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=sy-1000043269-2</a>，不是我司安装范围内的话，请您拨打厂家的电话预约安装哦~~~
给我找个客服吧	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
人工客服在吗	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服在不在呀	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服几点上班	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
客服在线聊天	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
人类客服不在线了吗	亲，人工客服的服务时间为早9点到晚24点，您可点击对话页面上方人工客服按钮哦
订单过期了还没送达	亲，果果相信师傅一定是有原因的，您也可以联系下人工客服询问下的哦~~~
是全新未开封的？	亲，您放心，国美在线向您保证商品都是全新未拆封的
为什么不可以加入购物车呢	果果不太清楚呢，建议您咨询人工客服，么么哒~~~
为什么我无法结算呢	果果不太清楚呢，建议您咨询人工客服，么么哒~~~
不可以办分期吗	打开链接：http://help.gome.com.cn/article/234-0-0.html  有分期说明的哦
其它银行的不可以用么?	打开链接：http://help.gome.com.cn/article/233-241-0.html，可以看看我们的在线支付的说明哦~~~
不同颜色的不可以一起减吗?	亲，满减活动以页面价格下面有满减字样的参与哦，具体可以以加入购物车显示的为准哦~~~
我领的卷怎么不可以用	亲，在您的国美-您的优惠劵-点击去使用，里面的商品支持使用哦~~~
为何同一种商品价格不同啊	亲，因商品属于地方采购，因厂家供货价及批次不同，故会出现区域不一样价格也不同的情况，但请您放心，国美在线一直秉承行业低价的原则，且保证正品哦/握手
为何我的地址一直是湖南改不了北京	亲，去收货地址设置默认地址就可以啦~~~
为何比别家的贵呢	亲，因网站促销活动较多，随时会因活动力度或市场波动而变化，可能会出现部分商品涨价或降价的情况，亲~要选购好了可以趁着有活动时尽快下单的哦/可爱
为何不是货到付款	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
那你的意思是可以货到付款是不是啊?	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
你是不是货到付款啊	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0  可以详细的告知您哦~~
你上面是免运费啊	打开链接:http://help.gome.com.cn/question/104.html 就可以看见具体的运费说明~~~
什么区别	亲，商品页面点击对比方框，就可以出现商品区别了~~~
什么价格	亲，具体的以加入购物车，确认订单页面显示的价格为准哦~~~
这是什么颜色	亲，以页面显示为准的哦
你们送货时会损坏么	亲，放心吧，我们的快递师傅都是很温柔的，会让您的商品安全的送达呢~~~
如果用损坏怎么办呢?	亲，请您放心，我司有完善的售后体系，自商品妥投之日起出现质量问题，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，涉及费用及相关详情，您可以参考:http://help.gome.com.cn/html/shfw/thh-zy.html
物流中损坏怎么办	打开链接：<a href="http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3">http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3</a>，是签收与验货的流程哦~~~
手机有损坏怎么办	打开链接：<a href="http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3">http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3</a>，是签收与验货的流程哦~~~
书籍有损坏怎么办	打开链接：<a href="http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3">http://help.gome.com.cn/article/229-0-0.html?intcmp=sy-1000043252-3</a>，是签收与验货的流程哦~~~
运输途中不会损坏吧	亲，放心吧，保证您的宝贝安全送达哦
你们这个是全新未拆封的吗	亲，您放心，国美在线向您保证商品都是全新未拆封的
货到货款是什么	打开链接：http://help.gome.com.cn/article/232-0-0.html?intcmp=sy-1000043266-0， 可以详细的告知您哦~~
货到了钱付给快递员吗？	亲，是的呢，分为pos刷卡和现金支付
这款商品是正品吗?	亲，请您放心，国美在线向您承诺所售商品均为正品行货，自带机打发票，享受国家三包，与您亲临商场享受同等的质量/强 ，自营商品会随商品配带发票（部分商品需要签收商品后单独邮寄）/呲牙另我们还为您提供具有竞争力的价格，请您放心购买！/强
退货的货款打到哪里?	当您已支付的订单，在操作订单取消或订单拒收（拒收订单需要状态变更为“拒收返回大库”时）的情况下，会生成退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以通过我的国美—我的订单—退款服务查看退款处理状态。
请问这款项链到长春需要几天啊??	打开链接：http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0， 输入您具体的地址查询哦~~~
退货物品有什么要求吗	您可以在“我的订单-退换货”这里进入申请退换货页面，并按照要求填写申请内容，填写无误提交后等待审核即可。
我们这边的售后管吗?	24小时不休，有我在不怕~~~
红领巾  拜拜	再见，欢迎再来噢~
恩我拍	恩恩，就是这样的呢，感觉棒棒的呢~
便宜点	商品价格是无法单独优惠的，您可以参与商品本身正在进行的促销活动，之后是否优惠还请您关注商品的促销信息，感谢您的理解。
晚上好	亲，晚上好哦~
中途不会出现问题吧	不会的呢~有问题随时联系反应呦
采购热线	<p style="TEXT-ALIGN: left;PADDING-BOTTOM: 0.0px;WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;MARGIN: 5.0px 0.0px;PADDING-LEFT: 0.0px;PADDING-RIGHT: 0.0px;WHITE-SPACE: normal;LETTER-SPACING: normal;COLOR: rgb(94,94,94);WORD-SPACING: 0.0px;PADDING-TOP: 0.0px;">400-815-9955</p>####<p style="TEXT-ALIGN: left;PADDING-BOTTOM: 0.0px;WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;MARGIN: 5.0px 0.0px;PADDING-LEFT: 0.0px;PADDING-RIGHT: 0.0px;WHITE-SPACE: normal;LETTER-SPACING: normal;COLOR: rgb(94,94,94);WORD-SPACING: 0.0px;PADDING-TOP: 0.0px;">010-56505656/5665/5668</p>####<p style="TEXT-ALIGN: left;PADDING-BOTTOM: 0.0px;WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;MARGIN: 5.0px 0.0px;PADDING-LEFT: 0.0px;PADDING-RIGHT: 0.0px;WHITE-SPACE: normal;LETTER-SPACING: normal;COLOR: rgb(94,94,94);WORD-SPACING: 0.0px;PADDING-TOP: 0.0px;">Mail：lc@gome.com.cn</p>####<p style="TEXT-ALIGN: left;PADDING-BOTTOM: 0.0px;WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;MARGIN: 5.0px 0.0px;PADDING-LEFT: 0.0px;PADDING-RIGHT: 0.0px;WHITE-SPACE: normal;LETTER-SPACING: normal;COLOR: rgb(94,94,94);WORD-SPACING: 0.0px;PADDING-TOP: 0.0px;">工作时间：周一到周五 9:30-18:30</p>
什么是家装管家？	出色的行业人才！####完善、标准化、高素质的装修管家服务团队####提供装修的咨询服务、材料（主材）服务、施工服务####使装修用户获得美好的服务体验！
装修的服务流程是什么？	在线浏览—咨询—预约—设计师上门量房—签订合同—在线支付—工程施工—装修完毕
什么是拎包入住？	包含了装修中的主材、辅材、人工、损耗、家具件套、软装配饰等
你们怎么收费的？	根据家装公司套餐不同，报价也不同，详情可联系客服咨询；客服热线电话：4008105665
你们支持装修的城市包含哪些？	国美家装目前仅支持北京、上海、天津地区，其他城市会陆续开通，请您随时关注国美家装；
装修的风格有哪些？	装修风格不限
预约量房怎么收费？	现阶段家装预约量房为免费服务
为什么出免费设计和报价必须要量房？	只有量房设计师才能够整体了解业主户型的特点（如：光照、通风，格局等）及详细尺寸（一般开发商出具的户型图都是不准的）；####设计师和业主现场沟通装修需求，更容易做出令业主满意的设计方案，并减少后面设计的沟通频次。
装修前我需要做哪些准备？	您需根据职业、生活习惯与设计师沟通，提供房屋用途、结构、面积、户型、居住人数、装修预算、风格喜好、特殊需求和设计要求。
你们使用的材料是不是环保的？	国美家装使用的全部装修材料均为符合环保规定，相关产品均符合国家环保和质量标准
装修款项如何支付？	签订合同后，在国美家装在线下单
跟你们合作的有那些家装公司？	您好，国美家装目前合作了3家品牌装修公司，分别是：####1、速美集家装饰有限公司####2、北京生活家装饰工程有限公司####3、东易日盛装饰
海外购购物须知	 1、国美海外购秉承客户至上的理念;承诺出售的商品均为100%海外正品。2、海外直邮商品均从海外或保税仓发至客户手中，配送物流可靠。国际物流周期时间较长，遇到不可抗力的情况，订单可能会延迟，下单前考虑此配送周期。3、海外购商品需要清关后入境，根据海关要求，在提交订单时需要填写真实的收货姓名，及身份证信息；您的个人信息我们只用于个人物品入境申报，我们会对您的信息进行保护，绝不泄密。 4、购买海外商品需依法向中国海关申报及纳税，海关规定同一身份证当日购买多件海外商品时，金额不得超过1000元人民币（不含关税），且不得超过3单。 5、下单支付后，订单一旦提交至海关申报及纳税，您将不能修改订单信息（收货地址，电话等），也不申报退款，请您知晓并谅解。 6、自客户收到商品之日起7日内出现质量问题可以退货,商品需邮寄至指定的国内地址；7、国美海外购商品暂不支持使用红券。
国美海外购的售后服务有哪些？	国美海外购售后服务总则 ####美海外购自营商品适用此售后服务规则。 ####国美海外购承诺符合以下情况，自客户收到商品之日起7日之内可以退货，您可在线提交退货申请办理退货事宜。（请您保证主商品的完好，并将赠品一并退回）        海外购售后服务细则：####一、判断实际收货日期规则：以客户实际签收日期为主。####鉴于国美海外购所有商品均为境外发货，因此仅提供退货服务。####二、特别说明，以下情况不予办理退货：####1、一切非国美海外购售出的商品（如序列号不符等）；####2、过保商品； ####3、未经授权的维修、误用、碰撞、疏忽、滥用、进液、事故、改动、不正确的安装导致所造成的商品质量问题，或撕毁及####涂改所造成的商品质量问题，或撕毁及涂改，标贴、机器序号、防伪标记导致商品不完好或无法判断商品是否通过国美海外####购售出的；####4、化妆品过敏问题不属于质量问题，不在退货范围内；####5、其他依法或依法依本规则不办理退货的。
实际收货日期判断规则	1、国美快递配送或者自提的订单：以客户实际签收日期为准； ####2、非国美配送的订单，按照第三方物流平台显示的实际到货次日0点起为准。如果第三方合作伙伴不能有效返回签收日期，则国美客服根据距离等因素和客户人工确认实际到货日期。
退款处理周期是多长时间？	国美在线退款处理周期1个工作日（自生成退款单起）具体的建议可参照<a href="http://help.gome.com.cn/question/5556.html">http://help.gome.com.cn/question/5556.html</a>详细说明
什么是“T+1”工作日？	T+1工作日注解：T 指产生退款当天+1个工作日=2个工作日####例如：周四产生退款，周五方可审核退款；如周五产生退款，下周一方可审核退款。
什么是家电保养？	家电保养是指家用电器在使用或停用时过程中,为了使家用电器能保持原有的功能不失真或延长家用电器的使用寿命,而对家用电器定期采取的一系列清洗、消毒、除水垢的必要性维护措施。
家电保养的必要性	家电在使用一段时间过后，由于本身的电磁辐射以及对空气中灰尘和有害身体健康的细菌的吸收，家电便成为这些细菌的载体，影响到人们继续使用家电产生的对人体健康的危害。
支持哪些家电的保养服务？	冰箱、洗衣机、空调、烟机、热水器。
哪些品类的商品可以提供远程服务？	您在国美在线购买电脑、手机（安卓、苹果）、PAD设备，国美远程服务都将持续为您购买的商品软件问题提供优质服务。
远程服务有什么特色？	随时随地：您在任何有网络的地方，通过电脑都可连接国美远程服务，语音通话，无任何学习门槛。####技术过硬：国美远程服务不仅可以及时对80%非致命故障给予即使支持，而且具备针对20%致命故障的远程援救技术。####15秒神速响应：没有任何地域限制，工程师通过网络极速即可为用户解决系统、软件故障。####价格更低：同等的服务品质，收费仅为传统现场的五分之一。
延保服务范围	1.电器生产厂家保修范围内涵盖的电器自身性能故障。由于灰尘、受热、内部潮湿/冷凝、正常磨损、动力高峰/电压不稳以及在正常使用中由于厂家材料和技术问题所引起的故障。####2.延保期内，遥控器性能故障（非外观、进水故障）免费置换一次（仅限彩电、空调、音响、碟机四类商品）。####3.冰箱或冰柜在延保服务期内，因故障而引发的食物腐坏变质，我们将为您提供一次最高100元的食物补偿，仅限一次。
国美在线有几种购物方式？	国美在线现有三种购物方式：在线订购（联系在线客服为您购买）、电话订购（联系400客服为您购买）、网上订购；您可以通过这三种方式购买您所喜欢的商品。
如何在线订购？	在线订购，是指由您提供所需商品信息、收货信息，由客服人员代您完成购物流程的购物方式。####进入国美在线网站后，您可通过右下角的“在线客服”图标进入在线客服系统，将您需要的商品信息、收货信息告知客服人员，然后由客服人员代您提交商品订单。
如何电话订购？	您可拨打客服热线：4008-708-708，将所需商品信息、您的收货信息 等告知电话客服，并由客服人员代您下单购买。
如何网上订购？	建议您可以看下http://help.gome.com.cn/question/5130.html链接中具体的图示讲解哦~
网上订购流程	1.选购心仪有货的商品####2.加入购物车####3.点击“去购物车结算”按钮####4.去结算####5.填写订单信息####6.提交订单####7.支付
不登录可以直接购物吗？	用户在未登录的情况下，选择“去购物车结算”，页面会自动跳转至“用户登陆”的界面：####1、已注册的用户登录后即可完成购物；####2、未注册的用户点击“免费注册”，根据页面提示注册后，即可完成购物。
忘记密码怎么办？	密码忘记分为两种：####忘记登录密码：忘记登录密码会影响账号的正常登录；####忘记支付密码：忘记支付密码无法正常使用使账户中的优惠券、余额等。
什么是扫码安全登录？	扫码安全登录，是通过手机国美客户端扫描登录页面二维码，快速并安全登录国美在线网站的方式。####使用扫码安全登录之前，请确保您的手机已经安装最新版本的手机国美客户端，并且手机国美客户端已经登录。####目前仅支持3.0.1（安卓）或者  3.0.3（iPhone）及以上版本的手机国美客户端使用。####使用前提：请安装最新版手机国美客户端，若未更新或未安装，点此下载http://shouji.gome.com.cn/
如何扫描登录？	1、在电脑上打开国美在线登录页面，点击下图右下角三角处图标，切换到扫码登陆页面，即可看到二维码。####2、登录手机国美客户端，点击右上角扫码按钮，进入扫码界面，扫描电脑端展示的【扫描登录二维码】。####3、扫码成功后，电脑页面展示【扫描成功】；此时需要按照手机提示进行操作【登录电脑版国美】，在手机上确认登录操作之后，电脑的国美在线页面即可登录成功。
聪明购	国美“聪明购”是针对大家电、数码类的商品，推出的价格比对服务。消费者可以使用这项服务与同行业同款商品进行价格比对和信息查询。####国美在线通过技术手段，定时去收录的知名B2C商城抓取商品数据。这些数据目前包括：商品的抓取时的价格、商品的基本信息。当商品价格低于其他B2C商城同款商品时，在商品列表页和商品详情页出现“聪明购”的图标，以及差价信息。####鉴于搜索引擎以非人工检索方式、根据商品基本信息自动和第三方网站进行商品比对，相关内容来自搜索结果所查询到的第三方网站，仅提供参考。国美在线不对第三方网页中内容之合法性、准确性、真实性、适用性、安全性负责，对于您可能从该第三方网页上获得的资讯及享用的服务，请审慎辨别和选择，国美在线将不承担任何法律责任。
真划算子频道介绍	1、真划算首页：全品类团购商品推荐、展示；####2、品牌团：各品牌团购商品展示 ；####3、国美抢购：价格最低、优惠待抢的商品。####其他频道为定期更换的优惠活动；每天晚上8点到次日早8点会上线黄金8点档系列活动，届时将集中展出限时夜间特惠商品，欢迎关注。
真划算更新时间	1、每周一、周五为品牌团集中上新时间；####2、每周一、三、五为真划算单品及爆款集中上新时间。
什么是抢购？	国美在线真划算频道中国美抢购首页发布的商品均为定时限量，分为两个部分：抢购首页、找优惠。
团购注意事项	1、根据真划算商品的不同，真划算支持货到付款和在线支付两种方式；####2、每款真划算商品都有单ID限购数量和每单限购数，超出限量是不可成功购买的；####3、真划算订单在线支付付款等待期限为24小时，请您在订购成功后24小时内完成支付，大家电等部分商品（含部分小件商品）订购成功后请在10小时内完成支付，金银投资订单在线支付等待期限为6小时，请您在订购成功后6小时内完成支付，否则系统将自动取消订单。为保证您的订单顺利完成，请您下单后尽快完成支付；####4、因真划算活动力度较大，参加人数较多及商品数量有限，系统会根据下单顺序情况自动匹配销售数量；如您未能成功参加本次真划算活动，请您关注其他时间的真划算活动商品；####5、真划算属于商品的一种促销形式，参加真划算的商品将不再重复参与其它优惠活动（如有特殊促销活动说明，以活动规则为准）。
抢购注意事项	1、抢购产品根据商品属性支持在线支付与货到付款两种支付方式；####2、在线支付时，请您记得及时付款，在半小时内没有成功付款，订单会被取消；####3、价格劲爆的抢购商品，用户抢到半个小时没付款库存会自动释放；####4、所以喜欢的商品如果没抢到，不妨不时刷新抢购页面，会有想不到的惊喜！####5、抢购属于商品的一种促销形式，参加抢购的商品将不再重复参与其它优惠活动（如有特殊促销活动说明，以活动规则为准）。"
什么是淘实惠？	淘实惠所售均为“非全新”的商品，请您仔细阅读拍卖商品信息页面中的具体说明，对商品要求较高者请您慎重购买
淘实惠商品订单及结算	淘实惠商品一单一物，无法保留库存请您及时结算，商品的价格和库存以订单提交时为准。
淘实惠商品可以退换货吗？	淘实惠所售商品不支持换货及无理由退货，支持7天内质量问题退货。
购买淘实惠商品是否可获得美豆？	淘实惠所售商品不参与评价，晒单和收藏，且不涉及获得美豆。
淘实惠商品是否可参加商城活动？	淘实惠所售商品均不参与商城的活动
